title,location,size,rental fee
4 Bed House with En Suite at Lavington,Lavington,Modern 4 BR town house to let in Lavington,"KSh 335,000"
4 Bed House with En Suite at Ruaka Rd,"Ruaka rd, Runda, Westlands",Exquisite 4 bedroom standalone house for rent i...,"KSh 600,000"
4 Bed House with En Suite at Redhill Off Limuru Rd,"01, Redhill off Limuru Rd, Redhill",Executive Newly 4 Bedroom House all Bedroom En-...,"KSh 130,000"
4 Bed House with En Suite at Off Limuru Rd,"01, Off Limuru Rd, Redhill",Executive Newly 4 Bedroom House all Bedroom En-...,"KSh 130,000"
4 Bed Villa with En Suite at Brookside Drive,"Brookside Drive, Brookside, Westlands",4bedroom+Den+ Detached SQ Villa For Rent,"KSh 160,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",4 Bedroom All En Suite + Dsq House For rent in...,"KSh 280,000"
4 Bed House with En Suite at Off Limuru Rd,"01, Off Limuru Rd, Redhill",Executive 4 Bedroom House all en-suite + Dsq fo...,"KSh 125,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4 Bedroom All En Suite+ dsq Townhouse For Rent...,"KSh 170,000"
5 Bed House with En Suite in Rosslyn,"05, Rosslyn, Westlands",New Listing 5 Bedroom House all bedroom en-suit...,"KSh 380,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",4 bedroom All En Suite + Dsq House For Rent in...,"KSh 200,000"
5 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",5 Bedroom All En Suite + Dsq House For rent in...,"KSh 500,000"
4 Bed House with En Suite at Off Kiambu Rd,"01, Off Kiambu Rd, Kiambu Road",Executive 4 Bedroom House all en-suite + dsq Fo...,"KSh 250,000"
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",Executive 4 Bedroom House Master Bedroom en-sui...,"KSh 160,000"
4 Bed House with En Suite at Off Limuru Rd,"01, Off Limuru Rd, Redhill",Executive Newly 4 Bedroom House All en-suite F...,"KSh 140,000"
4 Bed House with En Suite at Redhill Off Limuru Rd,"00, Redhill Off Limuru Rd, Rosslyn, Westlands",Executive Newly 4 Bedroom House all Bedroom En-...,"KSh 130,000"
4 Bed House with En Suite at Off Kiambu Road,"01, Off Kiambu Road, Kiambu Road",Executive 4 Bedroom House Master Bedroom en-sui...,"KSh 200,000"
4 Bed House with En Suite at Off Limuru Rd,"01, Off limuru Rd, Redhill",Executive 4 bedroom House All en-suite + dsq Fo...,"KSh 130,000"
5 Bed House with Garden in Muthaiga,Muthaiga,5 Bedroom House To Let On 0.5 Acres In Muthaiga...,"KSh 295,000"
5 Bed Villa with En Suite in Lavington,Lavington,Lavington 5Bedroom Villa With SQ,"KSh 190,000"
5 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",5 Bedroom All En Suite + Dsq House For Rent in...,"KSh 250,000"
4 Bed House with En Suite in Syokimau,Syokimau,4 Bedroom House all bedroom en-suite + dsq For...,"KSh 100,000"
4 Bed House with En Suite at Off Limuru Rd,"01, Off Limuru Rd, Redhill",Executive 4 Bedroom House all en-suite + Dsq fo...,"KSh 140,000"
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",4 Bedroom All En Suite + Dsq House For Rent in...,"KSh 260,000"
4 Bed House with En Suite at Dagoretti Road,"Dagoretti Road, Karen",4 bedroom stand alone house to rent in Karen,"KSh 250,000"
4 Bed House with En Suite at Redhill Off Limuru Rd,"01, Redhill Off Limuru Rd, Redhill",Executive Newly 4 Bedroom House all Bedroom En-...,"KSh 140,000"
4 Bed House with En Suite at Rosslyn Lone Tree,"01, Rosslyn Lone Tree, Rosslyn, Westlands",Executive 4 Bedroom House Master en-suite For R...,"KSh 280,000"
4 Bed House with En Suite at Off Limuru Rd,"01, Off Limuru Rd, Redhill",Executive Newly 4 Bedroom House All Bedroom en-...,"KSh 140,000"
4 Bed House with En Suite at Limuru Road,"00, Limuru Road, Redhill",Executive 4 Bedroom House all bedroom en-suite...,"KSh 130,000"
4 Bed House with En Suite at Off Limuru Rd,"02, Off limuru Rd, Redhill",Executive 4 bedroom House All en-suite + dsq Fo...,"KSh 140,000"
4 Bed House with En Suite at Red Hill,"00, Red Hill, Redhill",Executive 4 Bedroom House all en-suite + Dsq fo...,"KSh 140,000"
4 Bed House with En Suite at Kiambu Road,"01, Kiambu Road",Newly 4 Bedroom House all en-suite + dsq for R...,"KSh 250,000"
5 Bed House with En Suite in Brookside,"Brookside, Westlands",5 Bedroom All En Suite + Dsq House For Rent in...,"KSh 250,000"
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road",Newly 4 Bedroom House All Bedroom En-suite for...,"KSh 250,000"
4 Bed House with En Suite at Kiambu Road,"00, Kiambu Road",Executive 4 bedroom House all en-suite + dsq fo...,"KSh 180,000"
3 Bed House with En Suite at Mukoma Road,"mukoma road, Karen Hardy",3 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 80,000"
4 Bed House with En Suite at Muteero Estate,"Muteero estate, Karen",4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 320,000"
5 Bed House with En Suite at Loresho,"01, Loresho, Westlands",BRAND NEW! Luxurious Five-bedroom Villa in Lore...,"KSh 350,000"
4 Bed House with En Suite at Loresho,"01, loresho, Loresho, Westlands",Welcome Home! Loresho Four Bedrooms Townhouse i...,"KSh 300,000"
5 Bed House with En Suite at Kyuna,"01, kyuna, Kyuna, Westlands",Enchanting! Kyuna Five Bedrooms Stand Alone Hou...,"KSh 400,000"
3 Bed House with En Suite at Rosslyn,"01, rosslyn, Rosslyn, Westlands",MODERN AND ENCHANTING 3 BEDROOM HOUSE TO RENT I...,"KSh 400,000"
4 Bed Villa with En Suite in Ridgeways,Ridgeways,Furnished 4 bedroom villa to let Ridgeways,"KSh 630,000"
3 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",Stylishly designed 3 bedrooms house plus tv roo...,"KSh 425,000"
5 Bed House with En Suite at Lower Kabete,"01, Lower Kabete, Westlands",Ultimate Privacy! Lower Kabete Five Bedrooms St...,"KSh 300,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",4 Bedroom Townhouse to let Spring Valley,"KSh 250,000"
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",Luxury 4 Bedroom Cottage to let,"KSh 300,000"
7 Bed House with En Suite at Runda,"01, runda, Runda, Westlands",NEW CHARMING AND MODERN 7 BEDROOM AMBASSADORIAL...,"KSh 450,000"
4 Bed House with En Suite at Runda,"01, runda, Runda, Westlands",Urban Living! Runda 4 Bedroom Townhouse for ren...,"KSh 200,000"
5 Bed House with En Suite at Runda,"01, runda, Runda, Westlands",Masterpiece 5-bedroom villa for rent in Runda i...,"KSh 450,000"
5 Bed House with En Suite at Runda,"01, runda, Runda, Westlands",Magnificent 5-Bedroom Stand Alone Home To Let i...,"KSh 350,000"
2 Bed House with En Suite in Runda,"Runda, Westlands",Semi Furnished 2 Bedroom Cottage to let,"KSh 120,000"
4 Bed Townhouse with En Suite at Spring Valley,"01, spring valley, Spring Valley, Westlands",Charming and Cozy! Newly Renovated Spring Valle...,"KSh 250,000"
3 Bed Villa with En Suite at La-Marina Mtwapa,"La-marina creekside Beach Estate, La-marina Mtwapa, Mtwapa",3 Bedroom Own compound cottage available for Ho...,"KSh 28,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4 Bed Townhouse with En Suite in Runda,"KSh 350,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4 Bedroom Townhouse to let,"KSh 180,000"
4 Bed Villa with En Suite in Spring Valley,"Spring Valley, Westlands",4 Bedroom Villa to let in Spring Valley,"KSh 420,000"
5 Bed House with En Suite at Kitisuru,"01, kitisuru, Kitisuru, Westlands",Stunning Living Spaces in this Brand New 5 Bedr...,"KSh 500,000"
4 Bed House with En Suite at Kitisuru,"01, kitisuru, Kitisuru, Westlands",EXQUISITE FAMILY LIVING! KITISURU 4 BEDROOM TOW...,"KSh 250,000"
5 Bed House with En Suite at Kitisuru,"01, kitisuru, Kitisuru, Westlands",Welcoming! Kitisuru 5 Bedroom Stand-Alone Home...,"KSh 350,000"
5 Bed House with En Suite at Kitisuru,"01, kitisuru, Kitisuru, Westlands",Modern Luxury Living! Homely 5 Bedroom Villa Al...,"KSh 550,000"
5 Bed Villa with En Suite in Lavington,Lavington,5 Bedroom all ensuite Villa for Rent in Lavingt...,"KSh 350,000"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",Beautiful 5 Bedroom House for Rent in Loresho.,"KSh 300,000"
4 Bed House with En Suite at Runda,"01, runda, Runda, Westlands",Beautiful Modern 4-Bedroom Villa for Rent in Ru...,"KSh 400,000"
4 Bed House with En Suite at Runda,"01, runda, Runda, Westlands","MODERN, CHARMING AND LOVELY DESIGNED 4 BEDROOM...","KSh 300,000"
4 Bed House with En Suite at Runda,"01, runda, Runda, Westlands",LUXURY LIVING! ENCHANTING 4 BEDROOM HOUSE TO LE...,"KSh 300,000"
4 Bed Townhouse with En Suite at Runda,"01, runda, Runda, Westlands",Luxury Modern Homes in a Gated Community 4- and...,"KSh 400,000"
5 Bed Townhouse with En Suite at Runda,"01, runda, Runda, Westlands",Luxury Modern Homes In a Gated Community 4- and...,"KSh 450,000"
4 Bed House with En Suite at Spring Valley,"01, spring valley, Spring Valley, Westlands",LUXURY REDEFINED! RUSTIC 4 BEDROOM TOWNHOUSE WI...,"KSh 380,000"
3 Bed House with En Suite at Spring Valley,"01, spring valley, Spring Valley, Westlands",Rustic Style 3-Bedroom Stand Alone Home to Let...,"KSh 325,000"
6 Bed Townhouse with En Suite in Lavington,Lavington,Lavington Modern executive 6bedrooms high end...,"KSh 350,000"
5 Bed House with En Suite at Karen,"x, karen, Karen",Spectacular 5 bedroom house for rent,"KSh 365,000"
4 Bed House with En Suite at Spring Valley,"01, spring valley, Spring Valley, Westlands",Prestigious Four Bedroom Villa for rent off Pep...,"KSh 400,000"
5 Bed House with En Suite at Spring Valley,"01, spring valley, Spring Valley, Westlands",Ideal for Both Commercial and Residential! Char...,"KSh 350,000"
5 Bed House with En Suite at Thigiri,"01, thigiri, Thigiri, Westlands",EXQUISITE AMBASSADORIAL 5-BEDROOM RESIDENCE AVA...,"KSh 650,000"
4 Bed House with En Suite at Thigiri,"01, thigiri, Thigiri, Westlands",Safe and Peaceful Four Bedroom Family House in...,"KSh 600,000"
4 Bed House with En Suite at Kilimani,"01, Kilimani",Perpetual Bliss! Enchanting Kilimani Four Bedro...,"KSh 240,000"
4 Bed House with En Suite at Ridgeways,"01, Ridgeways",MODERN AND SPECTACULAR 4 BEDROOM VIILLA TO LET...,"KSh 380,000"
4 Bed Townhouse with En Suite at Muthaiga,"01, muthaiga, Muthaiga",CHARMING AND COZY 4 BEDROOM TOWNHOUSE TO LET IN...,"KSh 350,000"
4 Bed House with En Suite at Muthaiga,"01, muthaiga, Muthaiga",Charming and Rustic! Old Muthaiga Four Bedroom...,"KSh 350,000"
4 Bed House with En Suite at Muthaiga,"01, muthaiga, Muthaiga",EXCEPTIONALLY DESIGNED 4 BEDROOM BUNGALOW IN MU...,"KSh 380,000"
5 Bed Townhouse with En Suite at Lavington,"01, lavington, Lavington",Contemporary and Outstanding! Lavington 4 Bedro...,"KSh 350,000"
4 Bed House with En Suite at Lavington,"01, lavington, Lavington",RELEASING THE JEWEL! ENTHRALLING 4 BEDROOM VILL...,"KSh 450,000"
5 Bed Townhouse with En Suite at Lavington,"01, lavington, Lavington",Impressive Modern and Brand New! Lavington 5-Be...,"KSh 330,000"
4 Bed Townhouse with En Suite at Maziwa,"Maziwa, Lavington",Gorgeous corner 4 bedrooms maisonette plus Dsq...,"KSh 150,000"
4 Bed House with En Suite at Siaya,"Siaya, Kileleshwa",Extremely beautiful 4 house plus 1 bedroom gues...,"KSh 255,000"
4 Bed House with En Suite at Kiambu Road,"01, Kiambu Road",Newly 4 Bedroom house all Bedroom en-suite + d...,"KSh 250,000"
4 Bed House with En Suite at Karen,"x, karen, Karen",Stunning 4 bedroom house to rent.,"KSh 365,000"
4 Bed House with Backup Generator in Kyuna,"Kyuna, Westlands",4 Bedroom Townhouse For Rent In Kyuna.,"KSh 260,000"
4 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",4 Bedroom All En Suite + Dsq House For Rent in...,"KSh 250,000"
